company,companydesc,category,catdesc
http://www.wikidata.org/entity/Q775060,Texaco,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q780380,Atlantic Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q780380,Atlantic Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q780380,Atlantic Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q783858,Blue Ensign Technologies,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q783858,Blue Ensign Technologies,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q787604,BOTAŞ,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q787604,BOTAŞ,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q795354,China National Offshore Oil Corporation,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q795354,China National Offshore Oil Corporation,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q803640,Bahrain Petroleum Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1886438,Makpetrol,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1963967,Itera,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1963967,Itera,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1967537,National Oil Corporation,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1967537,National Oil Corporation,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2006989,YPF,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2006989,YPF,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2006989,YPF,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2007495,OGK-6,http://www.wikidata.org/entity/Q862571,petroleum industry
